注册时间,注册资本,行业,区域,企业类型,控制人类型,控制人持股比例
2007,2050,交通运输业,福建,农民专业合作社,企业法人,NA
2008,3360,服务业,广东,农民专业合作社,企业法人,1
2005,9670,工业,江西,集体所有制企业,自然人,0.75
2011,8360,社区服务,山东,股份有限公司,企业法人,0.98
2001,8720,零售业,江西,股份有限公司,企业法人,0.54
2014,8440,社区服务,广西,集体所有制企业,自然人,0.75
2002,2240,商业服务业,广东,有限责任公司,企业法人,0.83
2001,5350,零售业,广西,集体所有制企业,自然人,0.85
2000,7000,工业,湖南,农民专业合作社,自然人,0.61
2006,6370,社区服务,山东,农民专业合作社,企业法人,0.53
2010,9030,社区服务,江西,有限责任公司,自然人,0.51
2008,NA,商业服务业,山东,股份有限公司,企业法人,0.85
2007,2670,工业,广西,合伙企业,自然人,0.97
2000,5560,NA,广东,股份有限公司,自然人,0.65
2000,8360,服务业,福建,股份有限公司,自然人,0.72
2013,4450,交通运输业,山东,农民专业合作社,企业法人,0.71
2005,6340,服务业,江西,农民专业合作社,自然人,0.68
2003,640,零售业,湖南,农民专业合作社,企业法人,0.99
2010,7750,零售业,广东,有限责任公司,自然人,0.81
2011,9640,零售业,湖南,农民专业合作社,自然人,0.53
2004,7980,社区服务,广西,股份有限公司,企业法人,0.96
2005,8290,服务业,湖北,集体所有制企业,自然人,0.92
2001,8180,服务业,广东,有限责任公司,企业法人,0.56
2014,1810,社区服务,福建,农民专业合作社,自然人,0.81
2010,230,零售业,江西,股份有限公司,企业法人,0.99
2000,1470,工业,江西,合伙企业,自然人,0.58
2001,3650,服务业,湖南,农民专业合作社,自然人,0.86
2009,1180,交通运输业,NA,集体所有制企业,自然人,0.89
2005,9400,服务业,广东,合伙企业,自然人,0.75
2007,580,商业服务业,福建,股份有限公司,自然人,0.93
2013,7930,交通运输业,广西,集体所有制企业,企业法人,0.95
2004,8660,交通运输业,江西,有限责任公司,自然人,0.95
2014,2560,零售业,湖北,集体所有制企业,企业法人,0.67
2013,2080,商业服务业,湖北,有限责任公司,企业法人,0.77
2005,7990,服务业,湖北,有限责任公司,企业法人,0.74
2006,920,服务业,山东,合伙企业,企业法人,0.89
2005,7830,社区服务,山东,合伙企业,企业法人,0.57
2001,8880,服务业,江西,股份有限公司,企业法人,0.92
2004,920,社区服务,福建,集体所有制企业,企业法人,0.59
2007,6600,工业,山东,合伙企业,自然人,0.56
2012,480,零售业,湖南,农民专业合作社,企业法人,0.8
2002,9660,商业服务业,湖北,有限责任公司,自然人,0.93
2007,8650,零售业,江西,有限责任公司,自然人,0.59
2003,1410,商业服务业,江西,有限责任公司,自然人,0.96
2009,8100,工业,广东,农民专业合作社,企业法人,0.75
2007,4580,交通运输业,湖南,农民专业合作社,企业法人,0.94
2010,9930,零售业,山东,合伙企业,自然人,0.82
2004,9140,NA,福建,集体所有制企业,企业法人,0.97
2006,7530,社区服务,湖北,股份有限公司,企业法人,0.93
2001,4980,零售业,福建,合伙企业,自然人,0.53
2001,1740,社区服务,广西,农民专业合作社,企业法人,0.76
2007,6190,服务业,湖北,合伙企业,企业法人,0.96
2012,2820,工业,福建,农民专业合作社,自然人,0.79
2013,2200,交通运输业,山东,农民专业合作社,自然人,0.81
2013,5700,服务业,广西,集体所有制企业,企业法人,0.67
2000,480,零售业,湖北,股份有限公司,自然人,0.65
2010,8600,服务业,福建,集体所有制企业,自然人,0.97
2011,4740,工业,湖北,NA,企业法人,0.97
2003,360,社区服务,广西,有限责任公司,自然人,0.81
2002,7970,交通运输业,湖北,合伙企业,企业法人,0.75
2005,4400,服务业,湖北,有限责任公司,自然人,0.88
2006,7090,商业服务业,广东,合伙企业,企业法人,0.84
2005,1100,服务业,湖北,有限责任公司,自然人,0.53
2013,650,零售业,湖北,农民专业合作社,自然人,0.67
2006,2710,工业,江西,股份有限公司,自然人,0.53
2006,6590,商业服务业,广东,集体所有制企业,企业法人,0.54
2004,1620,工业,湖南,集体所有制企业,企业法人,0.77
NA,9420,社区服务,湖北,合伙企业,企业法人,0.55
2002,2150,零售业,江西,农民专业合作社,自然人,0.86
2001,900,工业,湖南,股份有限公司,自然人,0.86
2013,960,服务业,广东,有限责任公司,企业法人,0.92
2013,3210,工业,湖北,集体所有制企业,企业法人,0.56
2010,920,商业服务业,山东,农民专业合作社,企业法人,0.95
2002,8430,社区服务,山东,股份有限公司,企业法人,0.59
2004,9060,零售业,福建,集体所有制企业,自然人,0.87
2011,5740,工业,湖南,集体所有制企业,自然人,0.54
2011,6370,工业,福建,股份有限公司,自然人,0.98
2009,8100,商业服务业,山东,集体所有制企业,自然人,NA
2013,1530,零售业,广东,合伙企业,自然人,0.94
2003,6540,商业服务业,江西,合伙企业,企业法人,0.8
2006,9360,服务业,福建,农民专业合作社,自然人,0.54
2008,710,交通运输业,福建,股份有限公司,自然人,0.78
2004,5850,交通运输业,湖南,农民专业合作社,企业法人,0.71
2011,1410,商业服务业,广西,股份有限公司,自然人,0.76
2003,1620,服务业,山东,有限责任公司,自然人,0.54
2009,3990,社区服务,NA,股份有限公司,自然人,0.71
2009,2310,交通运输业,广西,农民专业合作社,企业法人,0.82
2012,9980,零售业,湖北,合伙企业,自然人,0.6
2002,540,工业,湖北,股份有限公司,企业法人,0.83
2001,2000,服务业,广东,合伙企业,企业法人,0.89
2006,4960,服务业,湖北,集体所有制企业,自然人,0.56
2014,3750,零售业,湖南,集体所有制企业,自然人,0.52
2004,1630,社区服务,广东,农民专业合作社,自然人,0.92
2001,8390,工业,广西,有限责任公司,企业法人,0.52
2006,1830,商业服务业,湖北,股份有限公司,自然人,0.85
2003,4690,零售业,广东,农民专业合作社,企业法人,0.81
2012,2600,零售业,山东,合伙企业,自然人,0.91
2001,9850,商业服务业,福建,农民专业合作社,企业法人,0.68
2014,3420,零售业,山东,股份有限公司,企业法人,0.8
2008,4500,零售业,江西,农民专业合作社,企业法人,0.98
2001,4760,商业服务业,福建,农民专业合作社,企业法人,0.6
2004,4290,社区服务,广东,股份有限公司,自然人,1
2001,8910,工业,广东,合伙企业,自然人,0.58
2008,5330,服务业,山东,股份有限公司,企业法人,0.59
2000,7040,交通运输业,广西,有限责任公司,自然人,0.76
2001,6160,交通运输业,广东,农民专业合作社,自然人,0.97
2013,5960,商业服务业,福建,集体所有制企业,自然人,0.89
2013,8230,服务业,广东,有限责任公司,自然人,0.75
2003,9710,交通运输业,福建,集体所有制企业,自然人,0.51
2013,6200,服务业,福建,合伙企业,企业法人,0.76
2005,3500,商业服务业,广东,股份有限公司,企业法人,0.51
2004,6910,零售业,广东,股份有限公司,自然人,0.98
2002,9600,零售业,福建,农民专业合作社,企业法人,0.99
2008,9900,零售业,广东,股份有限公司,企业法人,0.69
2006,4720,交通运输业,广西,股份有限公司,企业法人,0.64
2000,610,工业,湖南,股份有限公司,企业法人,0.79
2004,3920,工业,山东,合伙企业,企业法人,0.83
2005,2250,零售业,湖北,股份有限公司,企业法人,0.65
2003,4660,商业服务业,广东,集体所有制企业,企业法人,0.96
2009,9970,交通运输业,福建,有限责任公司,企业法人,0.77
2009,NA,零售业,湖南,合伙企业,自然人,0.89
2006,990,商业服务业,广西,集体所有制企业,企业法人,0.87
2001,9420,零售业,湖北,集体所有制企业,企业法人,0.6
2009,5980,商业服务业,广西,有限责任公司,自然人,0.8
2006,3680,工业,山东,合伙企业,企业法人,0.68
2002,7660,工业,湖南,集体所有制企业,自然人,0.55
2014,7780,服务业,江西,有限责任公司,企业法人,0.85
2002,410,商业服务业,NA,合伙企业,企业法人,1
2012,8260,商业服务业,福建,股份有限公司,企业法人,0.83
2009,6620,工业,广东,股份有限公司,企业法人,0.57
2008,7680,交通运输业,湖南,农民专业合作社,自然人,0.94
2005,8600,交通运输业,山东,合伙企业,企业法人,0.89
2013,1660,零售业,湖南,农民专业合作社,企业法人,0.55
2000,4630,社区服务,广东,集体所有制企业,自然人,0.74
2008,6040,社区服务,湖南,集体所有制企业,自然人,0.93
2012,4150,交通运输业,福建,集体所有制企业,企业法人,0.65
2001,NA,工业,广西,股份有限公司,自然人,0.9
